127.0.0.1, 2015-12-06 19:13:32, GET, /start/default/index, HTTP/1.1, 404, 0.003368
127.0.0.1, 2015-12-06 19:13:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000511
127.0.0.1, 2015-12-06 19:13:38, GET, /admin/default/site, HTTP/1.1, 303, 0.117931
127.0.0.1, 2015-12-06 19:13:38, GET, /admin/default/index, HTTP/1.1, 200, 0.197996
127.0.0.1, 2015-12-06 19:13:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000235
127.0.0.1, 2015-12-06 19:13:39, POST, /admin/default/index, HTTP/1.1, 303, 0.045929
127.0.0.1, 2015-12-06 19:13:39, GET, /admin/default/site, HTTP/1.1, 200, 0.049431
127.0.0.1, 2015-12-06 19:13:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000248
127.0.0.1, 2015-12-06 19:13:40, POST, /admin/default/check_version, HTTP/1.1, 200, 0.278613
127.0.0.1, 2015-12-06 19:14:07, POST, /admin/default/site, HTTP/1.1, 303, 0.535283
127.0.0.1, 2015-12-06 19:14:07, GET, /admin/default/site, HTTP/1.1, 200, 0.055208
127.0.0.1, 2015-12-06 19:14:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000370
127.0.0.1, 2015-12-06 19:16:49, POST, /admin/default/site, HTTP/1.1, 303, 0.681991
127.0.0.1, 2015-12-06 19:16:49, GET, /admin/default/site, HTTP/1.1, 200, 0.059146
127.0.0.1, 2015-12-06 19:16:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000230
127.0.0.1, 2015-12-06 19:19:05, POST, /admin/default/site, HTTP/1.1, 303, 0.667646
127.0.0.1, 2015-12-06 19:19:05, GET, /admin/default/site, HTTP/1.1, 200, 0.043857
127.0.0.1, 2015-12-06 19:19:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
